C.D.S.  -  SIMBAD4 rel 1.5  -  2016.05.31CEST18:39:28

 IdentList
----------

 # 	typed ident	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	       pm       	  plx  	 radvel  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   
---	-----------	-------------------------	---	---------------------------	----------------	-------	---------	------	------	------	------	------	---------------
313	HD190360   	HD 190360                	PM*	300.90585778 +29.89680400  	 683.94 -524.70 	  63.06	-45.26   	     ~	 6.44 	 5.71 	 5.2  	 4.9  	G7IV-V         
314	HD37605    	HD 37605                 	PM*	085.00720270 +06.06057767  	  53.15 -246.44 	  22.74	-22.05   	     ~	 9.52 	 8.69 	 8.1  	 7.7  	K0             
315	HD125612   	HD 125612                	*  	215.22298633 -17.48152575  	  -61.12 -67.65 	  18.45	-18.16   	     ~	 8.93 	 8.32 	     ~	     ~	G3V            
316	HD102117   	HD 102117                	*  	176.21025302 -58.70371146  	  -63.74 -70.76 	  25.19	49.59    	     ~	 8.20 	 7.45 	     ~	     ~	G6V            
317	HD189733   	HD 189733                	BY*	300.18213945 +22.71085126  	  -2.14 -251.40 	  51.41	-2.55    	 9.241	 8.578	 7.648	 7.126	 6.68 	K0V+M4V        
318	HD108863   	HD 108863                	PM*	187.58296070 +21.94824495  	  -73.83 -33.29 	   7.18	-28.02   	     ~	 8.71 	 7.72 	     ~	     ~	K0III-IV       
319	HD1502     	HD 1502                  	PM*	004.82110857 +14.05475398  	   74.64 -18.15 	   6.28	-9.94    	 9.980	 9.290	 8.350	     ~	     ~	K0             
320	HD142022   	HD 142022                	PM*	242.56263131 -84.23161316  	 -336.32 -31.77 	  29.13	-9.60    	     ~	 8.47 	 7.69 	     ~	     ~	G9IV-V         
321	HD212771   	HD 212771                	PM*	336.76279598 -17.26365469  	 -87.59 -103.17 	   7.63	14.28    	     ~	 8.48 	 7.60 	     ~	 8.66 	G8IV           
322	HD134987   	* 23 Lib                 	PM*	228.36944608 -25.30934634  	 -399.92 -74.85 	  38.16	5.17     	     ~	 7.168	 6.46 	 6.43 	     ~	G6IV-V         
323	HD187123   	HD 187123                	PM*	296.74213744 +34.41952249  	 143.18 -123.91 	  20.72	-16.97   	     ~	 8.488	 7.83 	 7.4  	 7.1  	G5             
324	HD101930   	HD 101930                	*  	175.87546818 -58.00688555  	   15.80 347.90 	  34.24	18.36    	     ~	 9.12 	 8.21 	     ~	     ~	K2V+           
325	HD131664   	HD 131664                	*  	225.02530805 -73.53533916  	    14.61 28.85 	  17.77	35.22    	     ~	 8.82 	 8.13 	     ~	     ~	G3V            
326	HD147018   	HD 147018                	PM*	245.75060965 -61.68876169  	-178.49 -315.28 	  23.28	-27.50   	     ~	 9.07 	 8.30 	     ~	     ~	G8/K0V         
327	HD92788    	HD 92788                 	PM*	160.70219940 -02.18375584  	 -14.19 -222.69 	  28.20	-4.52    	     ~	 8.01 	 7.30 	     ~	     ~	G6V            
328	HD114613   	HD 114613                	PM*	198.01327091 -37.80302504  	  -381.72 45.75 	  48.38	-13.06   	 5.86 	 5.55 	 4.85 	 4.28 	 3.92 	G3V            
329	HD154857   	HD 154857                	*  	257.81550787 -56.68079728  	   87.14 -55.92 	  15.57	28.14    	     ~	 7.93 	 7.24 	     ~	     ~	G5V            
330	HD163607   	HD 163607                	*  	268.41872830 +56.39195602  	  -75.74 120.05 	  14.53	-10.12   	     ~	 8.762	 7.979	 7.80 	     ~	G5IV           
331	HD19994    	* 94 Cet                 	** 	048.19348828 -01.19610035  	  194.56 -69.01 	  44.29	18.96    	     ~	 5.631	 5.070	     ~	     ~	F8.5V          
332	HD85512    	HD 85512                 	PM*	147.77938332 -43.50278490  	 461.92 -471.92 	  89.62	-9.51    	 9.963	 8.83 	 7.651	 6.934	 6.319	K6Vk:          
333	HD106252   	HD 106252                	PM*	183.37295564 +10.04163822  	  23.76 -279.50 	  26.52	15.44    	     ~	 8.00 	 7.36 	 7.0  	 6.7  	G0             
334	HD171028   	HD 171028                	*  	278.0645537 +06.9457539    	    -43.8 -13.4 	      ~	13.70    	     ~	 8.93 	 8.29 	     ~	     ~	G0             
335	HD1605     	HD 1605                  	*  	005.13132801 +30.97480411  	    84.41 58.19 	  12.60	9.68     	     ~	 8.55 	 7.52 	     ~	     ~	K1IV           
336	HD67087    	HD 67087                 	*  	121.91564406 +31.55131615  	  -18.31 -37.40 	  12.15	0.30     	     ~	 8.55 	 8.04 	     ~	     ~	F8V            
337	HD7924     	HD 7924                  	*  	020.49631211 +76.71028709  	  -34.23 -33.28 	  59.49	-23.40   	     ~	 8.005	 7.185	     ~	     ~	K0.5V          
338	HD216536   	HD 216536                	*  	343.2665521 +44.4777394    	       2.9 -3.6 	      ~	-17.18   	     ~	10.42 	 9.23 	     ~	     ~	K0             
339	HD7924     	HD 7924                  	*  	020.49631211 +76.71028709  	  -34.23 -33.28 	  59.49	-23.40   	     ~	 8.005	 7.185	     ~	     ~	K0.5V          
340	HD95127    	HD 95127                 	*  	164.89619446 +43.81446729  	  -14.48 -10.58 	   3.06	-16.80   	     ~	 9.43 	 8.15 	     ~	     ~	K0             
341	HD1666     	HD 1666                  	*  	005.21808162 -19.93122452  	   -8.33 -59.58 	   9.22	17.30    	     ~	 8.69 	 8.16 	     ~	     ~	F7V            
342	HD5319     	HD 5319                  	*  	013.75583336 +00.78955609  	   -4.93 -49.66 	   8.74	0.34     	     ~	 9.03 	 8.05 	     ~	     ~	K0III          
343	HD1605     	HD 1605                  	*  	005.13132801 +30.97480411  	    84.41 58.19 	  12.60	9.68     	     ~	 8.55 	 7.52 	     ~	     ~	K1IV           
344	HD11506    	HD 11506                 	*  	028.21056043 -19.50697575  	   22.87 -98.85 	  19.34	-7.45    	     ~	 8.11 	 7.51 	     ~	     ~	G0V            
345	HD75784    	HD 75784                 	PM*	133.09975567 +13.23343595  	 -120.48 -87.99 	  11.54	45.25    	 9.740	 8.840	 7.850	     ~	     ~	G5             
346	HD10442    	HD 10442                 	*  	025.4714267 +02.7043792    	      24.3 10.8 	      ~	~        	     ~	 8.77 	 7.84 	     ~	     ~	K0IV           
================================================================================

<hr><p>
